CSD_code,metal,series,DFT_gap,pred,error,charge,n_atoms,MND
ZADCAI,Cd,4d,1.5907776399404583,4.127047,2.536269421979708,0,73,6
FARNAN,Ru,4d,0.319733788390359,3.008896,2.6891623240516576,0,104,6
FOFCOS,La,5d,0.2201401147300429,3.6562538,3.4361136999672226,1,110,10
SICPAY,Ru,4d,0.7918513397582508,2.8796787,2.0878273864380383,1,88,9
LEBNOX,Zn,3d,0.5382412199456426,5.0393724,4.50113122420719,1,36,5
WOBFEY,Zn,3d,1.317575322030739,3.900547,2.582971705557152,0,53,6
KICMEP,Re,5d,0.6337531856690606,2.9356744,2.3019212432707588,0,45,8
KUSFEJ,Mo,4d,0.08734854984962148,3.1255453,3.038196713440784,0,117,6
IYONIW,Zn,3d,0.9077718451661597,3.6418836,2.7341117665129175,0,39,4
WUZGED,Co,3d,0.6223244034457456,2.7289984,2.106674019176935,0,66,6
HAYWOV,Ag,4d,5.789222423833946,3.6310692,-2.158153240484337,1,37,4
HAJPEO,Co,3d,0.4911655217400834,2.6690931,2.1779276102789598,1,49,6
HAMYUP,La,5d,6.401206500506217,4.347434,-2.0537724566219397,0,46,9
FAGQAJ,Ti,3d,0.5684458586786892,2.9752593,2.4068134453679417,0,73,4
YUBRUL,Zn,3d,0.08326684191272327,3.8496494,3.766382587408566,0,53,6
QEXRET,Pt,5d,0.16843848086266572,2.6235065,2.455068065157842,1,67,4
WORFAK,Ru,4d,0.18911913440961658,3.5497608,3.3606416840718287,1,93,8
KIQQOQ,Hg,5d,0.7374285672662747,3.2148845,2.4774559523107516,0,63,2
RILRUZ,Os,5d,0.7401497058908735,3.0269978,2.28684809875085,0,31,6
DOKBUB,Ir,5d,0.4642262493565552,2.6858013,2.2215750182673464,1,61,6
NASPUU,Co,3d,0.40463331347784154,2.6122646,2.2076313197008695,0,55,6
KEFPEQ,Zn,3d,0.24381402076405245,3.4204993,3.1766853040345318,0,93,4
HEDFUS,Ru,4d,0.775524508010658,3.405337,2.6298125872499623,1,65,6
ZEMZOG,Tc,4d,0.5406902447077815,2.6316133,2.0909230098393374,0,62,6
SAQJIH,Cu,3d,0.7227344186934412,2.7537777,2.031043323692423,1,73,4
MUHZIY,Zn,3d,1.2609756386390838,3.369912,2.1089362704643095,0,113,4
EFUGOE,Cu,3d,4.215860071090921,1.6957953,-2.52006477346824,0,42,5
EDAWIQ,Ni,3d,0.11265513905839031,2.551756,2.439100766092977,0,75,4
MBYPPD,Pd,4d,0.11592050540790887,2.274822,2.158901491280934,0,65,4
COXZOE,Ru,4d,0.24245345145175307,2.3400252,2.097571735086943,1,76,6
BAFQUU,Ta,5d,0.6557944085283107,3.402407,2.746612522395151,0,34,7
YOMVIF,Fe,3d,0.6345695272564401,2.6942353,2.059665797603179,0,85,6
FABMUS,Pd,4d,0.11510416382052924,3.1382182,3.0231140006234405,0,325,4
JEPXAD,Ni,3d,0.23891597123977462,2.7840693,2.545153328458101,0,79,4
PEFZEF,Mo,4d,4.591377201285555,2.4367015,-2.154675665106966,0,71,6
DEZSIO,Zn,3d,5.732350626579832,3.3235106,-2.4088399797597635,0,85,6
CUJHOE,Fe,3d,0.3167405359033003,2.4237576,2.1070170171972857,0,131,6
EQULUY,Ti,3d,0.6272224529700234,2.7215657,2.094343270449166,0,81,5
KAYSOU,Cu,3d,3.829458386397891,1.1199741,-2.7094842500453518,0,44,5
FOBQIA,Fe,3d,5.289621372357607,3.1017456,-2.1878757668888573,0,81,6
ZEMHEI,Co,3d,0.36245566479656016,2.61548,2.2530242813399144,1,57,6
GIGPIZ,Zn,3d,0.1483020550406346,2.3265984,2.1782963507973783,0,73,6
CASZOM,Zn,3d,0.315107852728541,3.1402967,2.8251888448880362,1,69,6
WURNII,Ir,5d,0.4457225067092834,2.8817484,2.4360259311721864,1,102,6
KUTPAT,Pt,5d,0.22122857017988243,2.6429949,2.421766310496387,0,59,4
RESMUB,Co,3d,0.21877954541774353,2.465398,2.2466185277786677,1,70,6
QEBRIA,Cd,4d,0.29605988235634945,2.828526,2.5324661376936994,0,55,6
BEMNUG,Fe,3d,0.12843774308106337,2.6184165,2.4899788046942053,0,55,6
FUXSUM,Ru,4d,0.20245271367015072,2.409892,2.207439368544205,0,93,6
QIDGUI,Ir,5d,0.33197891220105363,2.7688124,2.436833505782955,1,63,8
ERIZOU,Ir,5d,1.1597492818040085,4.0089936,2.849244343836861,1,56,5
BAFSUY,Zn,3d,0.5415065862951612,2.558181,2.016674461144414,0,84,5
NECZEA,Mo,4d,1.335806950815551,3.5198073,2.1840003878990486,0,70,5
ADOJIP,Mn,3d,3.3255035131221935,1.2925857,-2.03291778256952,0,157,6
CIVQAB,Pd,4d,1.4002979362185424,3.4826486,2.082350674850183,0,80,4
EWOZUM,Zn,3d,3.494214107847319,5.5384965,2.044282386445894,0,49,4
GEKNIT,Ru,4d,0.9469562413603823,3.547293,2.6003367064087826,1,44,9
LAHRIX,Zn,3d,5.400915942103698,3.2060232,-2.194892725856139,1,98,5
QUTPEA,Zr,4d,0.24000442668961414,3.5356011,3.2955967123789893,0,63,12
FIZYEW,Au,5d,1.5883286151783194,3.7169037,2.128575071345118,1,65,2
ISUCAD,Ir,5d,1.1026053706874337,3.2767265,2.1741211136112724,0,74,8
RUSDOY,Zn,3d,0.2644946743110033,2.8232775,2.5587827991387035,0,57,4
YOMGUC,Mo,4d,0.4609608830070367,2.953637,2.492676001682294,0,63,5
CLPZPD,Pd,4d,0.1278935153561436,3.0350027,2.907109193078915,0,87,4
HAVMOK,Au,5d,0.23864385737731475,4.5298495,4.291205671889043,-1,47,2
EYOJAD,Hg,5d,0.26340621886116383,4.5042253,4.240819035197674,0,47,2
YAZQIA,Ru,4d,0.8405597211385694,3.008257,2.167697191092876,1,98,6
RIBBUD,La,5d,1.3894133817201473,3.4025362,2.0131227720731877,0,61,14
ONEPED,Ru,4d,0.41687843728853613,2.5347426,2.1178641564767227,1,111,6
QESSAL,Ru,4d,0.34776151622372664,2.5444765,2.1967149928705116,0,57,9
